#pkgs, avgSpeed
5,6.2389
10,9.340266666666666
15,13.570833333333333
20,12.608333333333334
25,18.7986
30,23.758333333333336
35,302.67913333333337
40,395.8319333333333
45,399.81106666666665
50,1036.0889333333334
55,1510.9472000000003
60,2584.0361
65,2848.1056000000003
70,4694.258366666666
75,3899.127766666667
80,4450.647233333333
85,4383.569466666667
90,5603.711133333333
95,8010.827733333334
100,8717.9653
105,9532.0889
110,11380.090300000002
115,13196.359766666666
120,9964.855533333333
125,14854.3736
130,13626.022233333331
135,13602.0792
140,14972.9778
145,19310.229199999998
150,19356.4528
155,19400.570866666665
160,15422.940266666667
165,16128.3445
170,16982.515266666665
175,26252.316666666666
180,21066.255566666667
185,23265.62776666667
190,34091.17776666667
195,29064.99723333333
200,32474.29443333334
205,19413.754166666666
210,18112.109733333335
215,15560.336066666665
220,33982.80273333334
225,30954.995833333334
230,43111.44163333333
235,20735.351400000003
240,26609.648633333334
245,18521.645833333332
250,20006.7889
